Genus,Genus Synonyms,SpecificEpithet
Neotamias,Tamias,alpinus
Neotamias,Tamias,amoenus
Neotamias,Tamias,bulleri
Neotamias,Tamias,canipes
Neotamias,Tamias,cinereicollis
Neotamias,Tamias,dorsalis
Neotamias,Tamias,durangae
Neotamias,Tamias,merriami
Neotamias,Tamias,minimus
Neotamias,Tamias,obscurus
Neotamias,Tamias,ochrogenys
Neotamias,Tamias,palmeri
Neotamias,Tamias,panamintinus
Neotamias,Tamias,quadrimaculatus
Neotamias,Tamias,quadrivittatus
Neotamias,Tamias,ruficaudus
Neotamias,Tamias,rufus
Neotamias,Tamias,senex
Neotamias,Tamias,siskiyou
Neotamias,Tamias,sonomae
Neotamias,Tamias,speciosus
Neotamias,Tamias,townsendii
Neotamias,Tamias,umbrinus
Eutamias,Tamias,sibiricus
Tamias,,striatus