label,pattern,replace,remove
color_term,amber,yellow,
color_term,black,black,
color_term,blackish,black,
color_term,blue,blue,
color_term,blueish,blue,
color_term,bluish,blue,
color_term,bronze,brown,
color_term,bronzy,brown,
color_term,brown,brown,
color_term,brownish,brown,
color_term,castaneous,brown,
color_term,chartreuse,green,
color_term,cinnamon-brown,brown,
color_term,cinnamon-colored,brown,
color_term,cinnamon-coloured,brown,
color_term,cream,white,
color_term,cream-yellow,yellow,
color_term,creamy,white,
color_term,crimson,red,
color_term,dark-olivaceous,green,
color_term,ebony,black,
color_term,fawn,brown,
color_term,fuscous,gray,
color_term,fuscous-brown,gray-brown,
color_term,glaucous,blue,
color_term,glaucous-pink,pink,
color_term,gold,yellow,
color_term,golden,yellow,
color_term,golden-yellow,yellow,
color_term,grass-green ,green,
color_term,gray,gray,
color_term,grayish,gray,
color_term,grays,gray,
color_term,green,green,
color_term,greenish,green,
color_term,grey,gray,
color_term,greyish,gray,
color_term,greys,gray,
color_term,ivory,white,
color_term,lavendar,purple,
color_term,lavender,purple,
color_term,lemon,yellow,
color_term,lilac,purple,
color_term,lilac-pink,pink,
color_term,livid-brown,brown,
color_term,maroon,red-brown,
color_term,nigrescent,black,
color_term,ocher,brown,
color_term,ochre,brown,
color_term,olivaceous,green,
color_term,olivaceous-brown,green-brown,
color_term,olive,green,
color_term,olive-green,green,
color_term,orange,orange,
color_term,orangish,orange,
color_term,pink,pink,
color_term,pinkish,pink,
color_term,purple,purple,
color_term,purpleish,purple,
color_term,purplish,purple,
color_term,purplishbrown,brown,
color_term,red,red,
color_term,reddish,red,
color_term,rose,pink,
color_term,rose-colored,pink,
color_term,rose-coloured,pink,
color_term,roseate,pink,
color_term,salmon,pink,
color_term,salmon-pink,orange-pink,
color_term,scarlet,red,
color_term,silver,silver,
color_term,silvery,silver,
color_term,sordid-grayish,gray,
color_term,stramineous,yellow,
color_term,straw-colored,yellow,
color_term,straw-coloured,yellow,
color_term,sulfur-yellow,yellow,
color_term,sulphur-yellow,yellow,
color_term,tan,brown,
color_term,turquoise,bluw,
color_term,uncolored,uncolored,
color_term,variegated,,
color_term,violet,purple,
color_term,violetish,purple,
color_term,white,white,
color_term,whitish,white,
color_term,yellow,yellow,
color_term,yellowish,yellow,
color_mod,backed,backed,
color_mod,blotch,blotch,
color_mod,blotched,blotched,
color_mod,blotches,blotches,
color_mod,bright,bright,1
color_mod,broadsaddle,broadsaddle,
color_mod,bullâ€™s-eye,bulls-eye,
color_mod,bulls-eye,bulls-eye,
color_mod,dark,dark,1
color_mod,darker,darker,1
color_mod,dot,dots,
color_mod,dots,dots,
color_mod,dotted,dots,
color_mod,dull,dull,1
color_mod,duller,duller,1
color_mod,dusky,dusky,1
color_mod,faint,faint,1
color_mod,faintly,faintly,1
color_mod,gloss,gloss,
color_mod,glossed,glossed,
color_mod,glossy,glossy,
color_mod,in color,,1
color_mod,light,light,1
color_mod,lighter,lighter,1
color_mod,line,line,
color_mod,lined,lined,
color_mod,lines,lines,
color_mod,longitudinal,longitudinal,
color_mod,marked,marked,
color_mod,marking,marking,1
color_mod,markings,markings,1
color_mod,matte,matte,
color_mod,metallic,metallic,
color_mod,mottled,mottled,
color_mod,mottling,mottling,
color_mod,narrowsaddle,narrowsaddle,
color_mod,overtone,overtone,1
color_mod,overtones,overtones,1
color_mod,pale,pale,1
color_mod,paler,pale,1
color_mod,pallid,pale,1
color_mod,patch,patch,1
color_mod,patched,patched,1
color_mod,pattern,pattern,
color_mod,patterned,patterned,
color_mod,patterns,patterns,
color_mod,pruinescence,pruinescence,
color_mod,pruinose,pruinose,
color_mod,pruinosity,pruinosity,
color_mod,ring,ring,
color_mod,ringed,ringed,
color_mod,rings,rings,
color_mod,saddlebags,saddlebags,
color_mod,sordid,sordid,
color_mod,speckled,speckled,
color_mod,speckles,speckles,
color_mod,spot,spot,
color_mod,spots,spots,
color_mod,spotted,spotted,
color_mod,square,square,
color_mod,squares,squares,
color_mod,streaked,streaked,
color_mod,streaks,streaks,
color_mod,stripe,stripe,
color_mod,striped,striped,
color_mod,stripes,stripes,
color_mod,striping,striping,
color_mod,throated,throated,
color_mod,tinge,tinge,
color_mod,tinged,tinged,
color_mod,tinges,tinges,
color_mod,tint,tint,1
color_mod,tinted,tinted,1
color_mod,tipped,tipped,
color_mod,unmarked,unmarked,
color_mod,wash,wash,1
color_mod,washed,washed,1
color_missing,no,,
color_missing,without,,
color_missing,missing,,
color_missing,lack,,
color_missing,lacking,,
color_missing,except,,
color_missing,excepting,,
color_missing,not,,
color_missing,rarely,,
color_missing,obsolete,,
